PersonaID,Home,CarAccess,TransitAccess,Budget,TimeWindow,Group,MobilityNeeds,PrimaryInterest,TopRated,EnvConscious,RiskSalience,WillingnessAI,WalkTolerance,Language,Weather,Age,Sex,Income,start_latitude,start_longitude
P0001,inner suburb,no car,medium,medium,weekend morning,solo,stroller-friendly,nature,yes,high,low,med,5,non-English,heat,teen,female,75k-125k,40.767871,-73.935911
P0002,urban core,no car,medium,high,weekday evening,family w/ small kids,stroller-friendly,nightlife,yes,high,low,low,30,English,heat,old adult,male,75k-125k,40.765363,-73.965901
P0003,outer suburb,carshare,medium,medium,weekday evening,solo,ADA/wheelchair,cultural,no,high,high,high,5,non-English,clear,mid adult,female,75k-125k,40.708051,-73.934184
P0004,rural fringe,carshare,medium,low,weekend morning,mixed friends 20-30,none,cultural,no,high,high,med,15,non-English,clear,teen,male,35-75k,40.714173,-74.006304
P0005,urban core,no car,medium,medium,weekend afternoon,solo,none,cultural,yes,low,low,low,30,non-English,clear,old adult,male,75k-125k,40.777674,-73.963223
P0006,rural fringe,carshare,high,medium,weekend morning,mixed friends 20-30,ADA/wheelchair,cultural,no,high,low,high,30,non-English,rain,young adult,female,35-75k,40.818477,-73.961292
P0007,inner suburb,carshare,medium,high,weekend morning,older adult pair,ADA/wheelchair,food,yes,low,high,low,15,non-English,rain,young adult,male,75k-125k,40.800429,-73.965691
P0008,rural fringe,no car,medium,high,weekend afternoon,solo,ADA/wheelchair,food,no,low,low,low,30,English,heat,mid adult,male,75k-125k,40.717357,-73.953992
P0009,outer suburb,own car,medium,high,weekend morning,mixed friends 20-30,stroller-friendly,nightlife,yes,high,low,high,5,English,heat,young adult,female,75k-125k,40.729244,-73.949911
P0010,rural fringe,no car,low,low,weekend morning,solo,stroller-friendly,nature,no,high,low,low,15,English,heat,senior,female,35-75k,40.802073,-73.949755
P0011,urban core,carshare,medium,high,weekend morning,solo,ADA/wheelchair,cultural,yes,high,low,high,5,non-English,rain,senior,female,125k+,40.805739,-73.940643
P0012,outer suburb,no car,low,high,weekend afternoon,solo,ADA/wheelchair,nightlife,no,high,low,high,5,non-English,heat,old adult,female,75k-125k,40.755125,-74.002480
P0013,urban core,carshare,high,low,weekend afternoon,older adult pair,none,cultural,yes,low,high,med,30,English,rain,old adult,male,35-75k,40.706012,-73.935477
P0014,rural fringe,carshare,medium,medium,weekday evening,mixed friends 20-30,stroller-friendly,food,no,low,low,med,30,English,heat,young adult,male,35-75k,40.718300,-73.950065
P0015,urban core,no car,high,high,weekend afternoon,family w/ small kids,none,food,yes,high,low,high,15,English,heat,young adult,male,125k+,40.804199,-73.952734
P0016,inner suburb,carshare,low,high,weekend afternoon,mixed friends 20-30,ADA/wheelchair,food,no,high,low,med,5,English,heat,young adult,female,35-75k,40.705570,-74.009053
P0017,outer suburb,carshare,low,low,weekend afternoon,mixed friends 20-30,ADA/wheelchair,nightlife,no,low,high,low,15,English,clear,mid adult,male,<35k,40.792347,-73.952522
P0018,urban core,own car,high,high,weekend morning,solo,stroller-friendly,cultural,no,low,high,high,5,non-English,heat,old adult,male,125k+,40.801733,-73.964740
P0019,rural fringe,no car,low,low,weekday evening,solo,stroller-friendly,food,no,low,high,med,5,English,heat,old adult,male,35-75k,40.727305,-73.955816
P0020,urban core,carshare,high,medium,weekend afternoon,mixed friends 20-30,none,nature,no,low,high,low,5,non-English,heat,mid adult,male,75k-125k,40.816374,-73.948356
P0021,inner suburb,no car,medium,high,weekend morning,mixed friends 20-30,stroller-friendly,nature,yes,high,high,high,5,English,rain,mid adult,female,125k+,40.713269,-73.962081
P0022,outer suburb,carshare,low,medium,weekend afternoon,mixed friends 20-30,stroller-friendly,food,yes,low,low,high,30,non-English,clear,young adult,male,75k-125k,40.718874,-73.988979
P0023,rural fringe,carshare,high,high,weekend morning,older adult pair,ADA/wheelchair,food,yes,low,low,high,5,English,rain,mid adult,male,<35k,40.753320,-73.966503
P0024,rural fringe,no car,low,low,weekday evening,older adult pair,none,food,no,low,high,med,5,non-English,clear,old adult,male,<35k,40.752887,-73.987344
P0025,urban core,own car,medium,high,weekday evening,older adult pair,none,food,yes,low,high,med,15,English,heat,old adult,female,75k-125k,40.819061,-73.940846
P0026,outer suburb,carshare,low,high,weekday evening,older adult pair,ADA/wheelchair,cultural,yes,high,low,med,5,English,rain,old adult,female,35-75k,40.774556,-73.989651
P0027,urban core,carshare,low,medium,weekday evening,family w/ small kids,ADA/wheelchair,food,no,high,low,low,5,English,rain,young adult,female,75k-125k,40.761500,-73.997803
P0028,urban core,carshare,high,medium,weekday evening,solo,stroller-friendly,nightlife,no,low,high,low,30,non-English,clear,young adult,male,35-75k,40.811367,-73.954010
P0029,urban core,own car,low,high,weekend morning,family w/ small kids,stroller-friendly,food,yes,low,high,low,15,English,clear,mid adult,female,125k+,40.805189,-73.951193
P0030,inner suburb,own car,high,medium,weekday evening,mixed friends 20-30,ADA/wheelchair,cultural,no,low,low,high,15,English,rain,young adult,male,125k+,40.740619,-73.989442
P0031,outer suburb,no car,medium,medium,weekend afternoon,mixed friends 20-30,stroller-friendly,nightlife,yes,low,low,high,15,English,clear,young adult,male,75k-125k,40.754351,-73.976975
P0032,urban core,no car,high,high,weekday evening,older adult pair,stroller-friendly,nature,no,high,high,low,30,non-English,clear,mid adult,female,75k-125k,40.744116,-74.008555
P0033,outer suburb,own car,medium,high,weekend morning,older adult pair,stroller-friendly,cultural,yes,high,high,low,15,English,heat,senior,male,75k-125k,40.736284,-73.958520
P0034,rural fringe,no car,high,medium,weekend morning,older adult pair,ADA/wheelchair,cultural,yes,high,high,high,5,English,heat,old adult,male,75k-125k,40.756610,-73.937327
P0035,urban core,own car,low,low,weekday evening,mixed friends 20-30,ADA/wheelchair,cultural,yes,high,low,high,30,non-English,clear,young adult,male,75k-125k,40.714372,-73.946070
P0036,rural fringe,carshare,low,low,weekend afternoon,older adult pair,ADA/wheelchair,nightlife,yes,high,high,low,5,English,clear,senior,male,75k-125k,40.791675,-73.948984
P0037,inner suburb,carshare,low,high,weekend morning,solo,none,cultural,yes,low,low,high,30,non-English,rain,old adult,male,125k+,40.709826,-74.010017
P0038,inner suburb,own car,medium,medium,weekend afternoon,mixed friends 20-30,ADA/wheelchair,food,no,low,high,high,30,non-English,heat,young adult,female,75k-125k,40.737173,-73.988628
P0039,inner suburb,carshare,high,medium,weekday evening,family w/ small kids,none,nightlife,yes,low,low,high,30,English,rain,mid adult,male,35-75k,40.803434,-73.933081
P0040,rural fringe,own car,low,high,weekend morning,older adult pair,ADA/wheelchair,cultural,no,low,low,low,15,non-English,clear,senior,female,75k-125k,40.716419,-73.994750
P0041,urban core,no car,high,medium,weekday evening,mixed friends 20-30,stroller-friendly,nightlife,yes,low,low,high,15,English,rain,young adult,male,35-75k,40.757779,-73.973439
P0042,outer suburb,carshare,low,medium,weekend morning,family w/ small kids,ADA/wheelchair,nightlife,yes,low,low,high,15,English,heat,mid adult,female,125k+,40.724555,-74.001940
P0043,outer suburb,no car,medium,high,weekend morning,mixed friends 20-30,stroller-friendly,cultural,yes,low,high,low,30,non-English,heat,young adult,female,75k-125k,40.778813,-73.974080
P0044,inner suburb,carshare,medium,high,weekend afternoon,family w/ small kids,stroller-friendly,nightlife,no,low,high,med,5,non-English,heat,mid adult,female,75k-125k,40.716981,-73.994463
P0045,outer suburb,no car,high,medium,weekend afternoon,solo,none,nightlife,yes,high,high,med,5,English,clear,mid adult,male,35-75k,40.814798,-73.936190
P0046,urban core,carshare,high,high,weekday evening,mixed friends 20-30,stroller-friendly,food,no,low,low,high,30,English,clear,young adult,male,125k+,40.720846,-74.000662
P0047,rural fringe,own car,high,medium,weekend morning,mixed friends 20-30,none,nature,yes,high,high,low,15,English,rain,young adult,female,125k+,40.706388,-74.007136
P0048,outer suburb,carshare,low,low,weekend morning,older adult pair,stroller-friendly,food,yes,high,high,high,5,English,rain,old adult,male,<35k,40.818234,-73.952721
P0049,inner suburb,no car,low,high,weekday evening,older adult pair,ADA/wheelchair,food,no,low,high,high,15,English,clear,mid adult,female,75k-125k,40.808940,-73.948248
P0050,urban core,carshare,high,high,weekend morning,mixed friends 20-30,ADA/wheelchair,food,no,high,high,med,15,non-English,rain,young adult,female,125k+,40.703191,-73.959800
P0051,inner suburb,carshare,high,low,weekend morning,family w/ small kids,none,nature,no,high,high,med,30,English,rain,mid adult,male,<35k,40.722182,-73.990892
P0052,inner suburb,own car,high,low,weekend afternoon,older adult pair,none,cultural,no,high,high,med,15,non-English,clear,old adult,male,35-75k,40.702288,-74.009495
P0053,urban core,carshare,medium,low,weekday evening,older adult pair,ADA/wheelchair,nature,no,low,high,low,5,English,rain,old adult,male,75k-125k,40.752972,-73.930496
P0054,outer suburb,no car,medium,high,weekend morning,solo,none,nightlife,yes,low,high,med,15,non-English,heat,teen,male,75k-125k,40.747640,-73.976759
P0055,inner suburb,no car,high,high,weekday evening,mixed friends 20-30,stroller-friendly,nature,yes,high,high,low,15,non-English,clear,young adult,male,125k+,40.740553,-73.938203
P0056,urban core,carshare,low,medium,weekend afternoon,family w/ small kids,none,cultural,yes,low,high,high,15,English,heat,mid adult,male,125k+,40.750881,-73.978657
P0057,outer suburb,own car,medium,low,weekend morning,older adult pair,ADA/wheelchair,nature,no,low,low,high,30,non-English,heat,old adult,male,<35k,40.773139,-73.966533
P0058,outer suburb,own car,low,medium,weekday evening,older adult pair,none,food,no,high,high,med,15,English,clear,mid adult,female,35-75k,40.703201,-73.989580
P0059,rural fringe,carshare,high,low,weekend afternoon,mixed friends 20-30,stroller-friendly,nightlife,yes,high,high,high,15,English,clear,young adult,female,35-75k,40.702264,-73.992848
P0060,outer suburb,no car,low,high,weekday evening,mixed friends 20-30,none,cultural,yes,high,high,med,30,non-English,rain,young adult,male,125k+,40.769125,-73.931323
P0061,outer suburb,own car,high,high,weekend morning,family w/ small kids,ADA/wheelchair,cultural,yes,low,high,low,15,English,rain,mid adult,female,35-75k,40.777052,-73.982001
P0062,urban core,no car,medium,medium,weekend afternoon,older adult pair,stroller-friendly,nature,no,high,high,low,30,non-English,rain,mid adult,male,<35k,40.749300,-73.949415
P0063,outer suburb,own car,high,high,weekend afternoon,family w/ small kids,stroller-friendly,nightlife,yes,high,high,high,5,non-English,rain,mid adult,male,125k+,40.717589,-73.955844
P0064,inner suburb,carshare,high,medium,weekday evening,mixed friends 20-30,none,cultural,no,low,high,med,30,English,heat,young adult,male,35-75k,40.775373,-73.987714
P0065,rural fringe,own car,medium,low,weekend morning,family w/ small kids,ADA/wheelchair,cultural,yes,high,low,high,5,non-English,heat,mid adult,male,75k-125k,40.750275,-73.939767
P0066,rural fringe,own car,low,low,weekend afternoon,family w/ small kids,ADA/wheelchair,nature,no,low,low,med,5,non-English,clear,young adult,female,35-75k,40.751051,-73.946470
P0067,rural fringe,carshare,medium,high,weekday evening,family w/ small kids,none,nightlife,no,high,low,low,5,English,heat,mid adult,female,125k+,40.747706,-73.956947
P0068,inner suburb,carshare,low,medium,weekend morning,mixed friends 20-30,stroller-friendly,nature,yes,low,low,low,30,non-English,heat,young adult,female,<35k,40.711186,-74.003114
P0069,rural fringe,carshare,high,low,weekend morning,solo,none,nature,yes,low,low,high,5,non-English,heat,mid adult,female,<35k,40.757963,-73.985534
P0070,inner suburb,own car,medium,low,weekend morning,mixed friends 20-30,none,nightlife,yes,low,high,med,5,English,clear,young adult,female,35-75k,40.715374,-73.958241
P0071,urban core,carshare,medium,high,weekend morning,solo,none,nightlife,yes,low,high,med,30,English,clear,teen,female,125k+,40.757912,-73.989296
P0072,urban core,carshare,medium,low,weekend morning,mixed friends 20-30,none,food,yes,high,low,high,30,English,clear,young adult,female,35-75k,40.748891,-73.975848
P0073,rural fringe,own car,medium,medium,weekend morning,family w/ small kids,stroller-friendly,cultural,no,high,high,med,30,English,clear,mid adult,female,75k-125k,40.723488,-73.951643
P0074,outer suburb,no car,high,medium,weekend afternoon,mixed friends 20-30,none,food,no,low,high,low,5,non-English,rain,young adult,male,75k-125k,40.756503,-73.960718
P0075,urban core,no car,low,high,weekend morning,mixed friends 20-30,none,nightlife,no,low,high,med,5,non-English,heat,young adult,female,125k+,40.714095,-73.997428
P0076,outer suburb,carshare,high,low,weekday evening,family w/ small kids,none,nature,yes,high,low,med,15,English,heat,old adult,female,35-75k,40.781719,-73.980982
P0077,outer suburb,carshare,low,high,weekday evening,older adult pair,none,food,no,low,high,low,15,English,heat,senior,male,35-75k,40.721807,-74.006442
P0078,rural fringe,own car,medium,medium,weekend morning,solo,none,nature,yes,low,high,high,30,English,clear,senior,male,75k-125k,40.796070,-73.945429
P0079,inner suburb,carshare,low,high,weekday evening,solo,none,nightlife,no,high,low,low,15,non-English,rain,young adult,female,75k-125k,40.787684,-73.981152
P0080,rural fringe,carshare,medium,medium,weekend morning,solo,none,nightlife,yes,low,low,high,15,non-English,clear,young adult,female,35-75k,40.755833,-73.970776
P0081,outer suburb,carshare,high,low,weekday evening,family w/ small kids,ADA/wheelchair,food,no,high,low,low,5,non-English,heat,mid adult,female,75k-125k,40.715374,-73.958241
P0082,outer suburb,no car,medium,low,weekend afternoon,solo,ADA/wheelchair,food,yes,high,high,low,15,English,rain,young adult,female,<35k,40.803934,-73.948205
P0083,outer suburb,carshare,medium,high,weekday evening,family w/ small kids,none,nightlife,yes,low,high,high,5,English,clear,mid adult,female,75k-125k,40.713771,-73.958041
P0084,inner suburb,no car,low,high,weekend afternoon,family w/ small kids,ADA/wheelchair,nature,no,low,low,low,5,non-English,clear,young adult,male,125k+,40.796561,-73.972267
P0085,rural fringe,own car,low,high,weekday evening,older adult pair,none,cultural,no,high,low,high,30,non-English,clear,old adult,female,35-75k,40.767871,-73.935911
P0086,rural fringe,no car,high,medium,weekend morning,mixed friends 20-30,none,nightlife,no,high,high,low,30,English,heat,young adult,male,125k+,40.781431,-73.954181
P0087,outer suburb,own car,high,low,weekday evening,mixed friends 20-30,none,food,no,low,low,med,5,non-English,rain,young adult,male,35-75k,40.745779,-73.982218
P0088,outer suburb,own car,high,medium,weekend morning,older adult pair,ADA/wheelchair,nightlife,no,low,high,high,15,non-English,rain,senior,female,125k+,40.727753,-73.991229
